gene,dNdS,Interacting?,Pval
ANKRD40,0.1865683,Interacting,1
ANKRD42,0.4451962,Interacting,0.05679389
ANKRD44,0.05463933,Interacting,0.3544752
ANKRD45,0.3912797,Interacting,0.000790563
ANKRD46,0.01415094,Interacting,1
ANKRD49,0.2310044,Interacting,0.4989458
ANKRD50,0.03856962,Interacting,0.1170557
ANKRD52,0.08151154,Interacting,8.78E-06
ANKRD53,0.4196774,Interacting,0.1484626
ANKRD54,0.1857993,Interacting,1
ANKRD6,0.1945481,Interacting,0.154167
ANKRD60,0.4758145,Interacting,0.8520406
ANKRD61,0.3623904,Interacting,0.6504176
ANKRD62,1.094442,Interacting,1.51E-09
ANKRD63,0.08090576,Interacting,0.2921219
ANKRD65,0.2414143,Interacting,1
ANKRD66,0.205386,Interacting,0.1651656
ANKRD7,0.9878226,Interacting,8.24E-06
ANKRD9,0.0464791,Interacting,1
ANKS3,0.2080152,Interacting,0.004881653
ANKS4B,0.2629637,Interacting,0.1622173
ANKS6,0.1460398,Interacting,0.2861401
ANKUB1,0.3111494,Interacting,0.2041214
ANKZF1,0.4609142,Interacting,0.02372791
ANLN,0.2781595,Non-interacting,0.1325742
ANO1,0.05697917,Non-interacting,0.1998219
ANO10,0.1675906,Non-interacting,1
ANO2,0.1635216,Non-interacting,1.36E-07
ANO3,0.06621014,Non-interacting,1
ANO4,0.07411509,Non-interacting,0.683641
ANO5,0.3300318,Non-interacting,2.77E-06
ANO6,0.1213982,Non-interacting,0.9340002
ANO7,0.1980353,Non-interacting,0.05359458
ANO8,0.101966,Non-interacting,0.1579026
ANO9,0.1699907,Non-interacting,0.003691802
ANOS1,0.1640312,Non-interacting,1
ANP32A,0.12183,Non-interacting,0.06098304
ANP32B,0.4778327,Non-interacting,0.003521404
ANP32D,0.6623231,Non-interacting,0.02390227
ANPEP,0.2462004,Non-interacting,3.35E-05
ANTXR2,0.1841429,Non-interacting,0.3011285
ANXA1,0.2385101,Non-interacting,0.01640076
ANXA10,0.2541827,Non-interacting,0.5782232
ANXA13,0.2145876,Non-interacting,1
ANXA2R,1.190892,Non-interacting,0.004990213
ANXA3,0.1316911,Non-interacting,0.2263512
ANXA4,0.1417492,Non-interacting,0.03315821
ANXA5,0.1121864,Non-interacting,0.5031519
ANXA8,0.09765443,Non-interacting,0.4322262
ANXA9,0.2890029,Non-interacting,0.2527908
AOAH,0.6214669,Non-interacting,1.11E-28
AOC1,0.1719573,Non-interacting,0.389757
AOC2,0.4194213,Non-interacting,0.08784051
AOC3,0.2558327,Non-interacting,0.9704312
AOPEP,0.4189793,Non-interacting,0.001729496
AOX1,0.2753945,Non-interacting,9.93E-05
AP1AR,0.1412117,Non-interacting,0.2146791
AP1M1,0.004529551,Non-interacting,0.5805899
AP1M2,0.06572519,Non-interacting,1
AP1S1,0,Non-interacting,1
AP1S2,0.2340186,Non-interacting,0.6394776
AP2A1,0.05003185,Interacting,0.02786381
AP2A2,0.06906667,Interacting,0.02248417
AP2M1,0.006537209,Non-interacting,0.02855691
AP2S1,0.01620567,Non-interacting,0.001104808
AP3B1,0.1662693,Non-interacting,0.5815136
AP3B2,0.06808872,Non-interacting,1
AP3D1,0.0659629,Non-interacting,0.006842571
AP3M1,0.02339846,Non-interacting,0.001310078
AP3M2,0.02751675,Non-interacting,1
AP3S1,0.06816993,Non-interacting,0.02505869
AP4B1,0.1541422,Non-interacting,0.4164555
AP4E1,0.2417289,Non-interacting,0.3693803
AP4M1,0.1101611,Non-interacting,0.05344026
AP5B1,0.2547024,Non-interacting,1
AP5M1,0.2244156,Non-interacting,1
AP5S1,0.10091,Non-interacting,0.8414258
AP5Z1,0.1229612,Non-interacting,0.838618
APAF1,0.3073053,Non-interacting,0.04722113
APBA1,0.04523386,Non-interacting,0.6558727
APBA3,0.1550557,Non-interacting,1
APBB1,0.1919661,Non-interacting,1.10E-09
APBB1IP,0.2758578,Non-interacting,0.211356
APBB2,0.1174115,Non-interacting,0.00647917
APBB3,0.1828554,Non-interacting,0.993617
APCDD1,0.07932525,Non-interacting,0.007958949
APCDD1L,0.2115589,Non-interacting,3.88E-06
APEH,0.1537187,Interacting,1
APEX2,0.3426872,Non-interacting,0.3753476
APH1A,0.4407707,Non-interacting,5.12E-10
APH1B,0.2529818,Non-interacting,1
API5,0.099606,Non-interacting,0.4142738
APIP,0.06556502,Non-interacting,0.1871264
APLF,0.6668102,Non-interacting,0.002880047
APLNR,0.04049081,Interacting,1
APLP1,0.1179508,Interacting,0.2148293
APLP2,0.08588095,Interacting,1
APMAP,0.1055679,Non-interacting,1
APOA2,0.54176,Non-interacting,0.1622184
APOA4,0.1993093,Interacting,0.4348081
APOB,0.4879073,Non-interacting,4.11E-13
APOBEC1,0.340086,Non-interacting,0.07371468
APOBEC2,0.09881166,Non-interacting,1
APOBEC3H,1.37747,Non-interacting,6.20E-06
APOBEC4,0.4236883,Non-interacting,0.111519
APOBR,0.9443013,Non-interacting,2.58E-13
APOC1,0.5288193,Non-interacting,1
APOC2,0.8487083,Non-interacting,0.001986182
APOC4,0.6997402,Non-interacting,2.16E-05
APOD,0.4770053,Non-interacting,0.0468999
APOF,0.9170379,Non-interacting,0.0184741
APOH,0.4174332,Interacting,0.0115519
APOL5,1.213459,Non-interacting,8.18E-08
APOL6,1.039275,Non-interacting,0.000162768
APOLD1,0.1048178,Non-interacting,0.168204
APOM,0.3738995,Non-interacting,0.6896025
APOPT1,0.3571214,Non-interacting,0.1219422
APP,0.06817425,Interacting,0.9122365
APPBP2,0.09079777,Non-interacting,0.8403159
APPL1,0.114976,Non-interacting,0.9351627
APRG1,1.140946,Non-interacting,0.004760073
APRT,0.1940994,Non-interacting,1
APTX,0.3187419,Non-interacting,0.3126647
AQP1,0.1747984,Non-interacting,0.000706481
AQP10,0.4922093,Non-interacting,5.08E-06
AQP11,0.2629417,Non-interacting,0.3736343
AQP12A,0.2852483,Non-interacting,0.007248185
AQP12B,0.2842619,Non-interacting,0.006521974
AQP2,0.05431474,Interacting,0.4449905
AQP3,0.1659258,Non-interacting,0.1314892
AQP4,0.0994582,Non-interacting,0.7817316
AQP5,0.09263452,Non-interacting,0.02091192
AQP6,0.2526357,Non-interacting,0.02243957
AQP7,0.6143669,Non-interacting,0.000736773
AQP8,0.2335824,Non-interacting,0.02428425
AQP9,0.3502069,Non-interacting,0.2348649
AQR,0.09170957,Non-interacting,0.2602764
ARAF,0.1019323,Interacting,0.3183829
ARAP1,0.1385625,Interacting,0.004390701
ARAP2,0.2375746,Interacting,0.2992943
ARAP3,0.1758919,Interacting,0.01171379
ARC,0.02327143,Non-interacting,0.4334168
ARCN1,0.08991211,Non-interacting,0.01128415
AREG,0.305246,Non-interacting,0.394089
AREL1,0.05196222,Non-interacting,1
ARF3,0.1533871,Non-interacting,0.04061635
ARF6,0.007045455,Interacting,1
ARFGAP1,0.1341777,Non-interacting,0.07544636
ARFGAP2,0.1187346,Non-interacting,1
ARFGAP3,0.2121887,Non-interacting,1
ARFGEF1,0.07997119,Non-interacting,1
ARFGEF2,0.06621891,Non-interacting,0.001810793
ARFIP2,0.0335034,Interacting,1
ARG2,0.1184543,Non-interacting,1
ARGLU1,0.4060916,Non-interacting,0.00074051
ARHGAP1,0.0699385,Non-interacting,1
ARHGAP10,0.1476948,Interacting,0.7729325
ARHGAP11A,0.3759772,Non-interacting,0.8806227
ARHGAP11B,0.5098889,Non-interacting,7.97E-06
ARHGAP15,0.1632079,Non-interacting,1
ARHGAP17,0.1427943,Interacting,0.2262133
ARHGAP18,0.2473529,Non-interacting,0.00503777
ARHGAP19,0.245355,Non-interacting,3.26E-10
ARHGAP21,0.1752555,Non-interacting,0.00644139
ARHGAP22,0.1243842,Non-interacting,1
ARHGAP24,0.1096877,Non-interacting,0.8491484
ARHGAP25,0.2562727,Non-interacting,0.000175684
ARHGAP26,0.05664607,Interacting,1
ARHGAP27,0.1326744,Interacting,1
ARHGAP28,0.1810871,Non-interacting,0.01658825
ARHGAP29,0.271855,Interacting,0.004327069
ARHGAP30,0.3858774,Non-interacting,0.0273584
ARHGAP32,0.2225697,Interacting,1
ARHGAP33,0.1708419,Interacting,7.69E-10
ARHGAP35,0.03104701,Non-interacting,1
ARHGAP36,0.4502157,Non-interacting,0.1514468
ARHGAP4,0.1549551,Interacting,0.5041508
ARHGAP40,0.2829612,Non-interacting,0.6885312
ARHGAP42,0.03085993,Interacting,0.2807177
ARHGAP5,0.06497584,Non-interacting,0.1616107
ARHGAP6,0.2016952,Non-interacting,1
ARHGAP8,0.1618169,Non-interacting,0.02010618
ARHGDIA,0.1787204,Non-interacting,0.01141004
ARHGDIB,0.1003547,Non-interacting,1
ARHGEF1,0.2765413,Non-interacting,3.04E-09
ARHGEF10,0.1447513,Non-interacting,0.1929755
ARHGEF10L,0.1928672,Non-interacting,0.000239059
ARHGEF12,0.1973312,Interacting,0.02348908
ARHGEF15,0.1989702,Non-interacting,0.0674062
ARHGEF16,0.09568608,Interacting,1
ARHGEF18,0.2165538,Non-interacting,0.0339971
ARHGEF19,0.1829586,Interacting,0.6570051
ARHGEF2,0.08473886,Non-interacting,0.9492572
ARHGEF25,0.2443116,Non-interacting,0.4502351
ARHGEF26,0.1689287,Interacting,0.7952588
ARHGEF3,0.1777026,Non-interacting,4.52E-12
ARHGEF33,0.07443086,Non-interacting,1
ARHGEF37,0.2875719,Interacting,0.2042698
ARHGEF39,0.241238,Non-interacting,0.08949854
ARHGEF4,0.0585365,Interacting,0.6910547
ARHGEF40,0.233365,Non-interacting,0.1792699
ARHGEF6,0.1299221,Interacting,0.474676
ARHGEF7,0.0809,Interacting,0.8077521
ARHGEF9,0.03234827,Interacting,1
ARID1A,0.1465539,Non-interacting,0.000751706
ARID1B,0.08636448,Non-interacting,1
ARID2,0.1347796,Non-interacting,0.4432525
ARID3A,0.1315365,Non-interacting,1
ARID3B,0.1839086,Non-interacting,1
ARID3C,0.3102798,Non-interacting,0.1639683
ARID4A,0.1592331,Non-interacting,0.8619603
ARID4B,0.1372481,Non-interacting,0.6056961
ARID5A,0.2382974,Non-interacting,0.3426841
ARID5B,0.1556976,Non-interacting,1
ARIH1,0.07857401,Non-interacting,0.000209518
ARIH2,0.07680499,Non-interacting,0.8361778
ARIH2OS,0.7980188,Non-interacting,0.5850873
ARL10,0.1431791,Non-interacting,0.117197
ARL13A,0.5640806,Interacting,0.232653
ARL14EPL,0.1304371,Non-interacting,0.3347086
ARL16,0.3908418,Non-interacting,0.001404006
ARL17A,1.152303,Non-interacting,3.79E-05
ARL2,0.08380147,Interacting,0.2267202
ARL3,0.05805525,Non-interacting,1
ARL4A,0.06188442,Non-interacting,1
ARL4C,0,Non-interacting,1
ARL4D,0.02244221,Non-interacting,1
ARL5A,0.2263099,Non-interacting,2.00E-06
ARL5B,0.187878,Non-interacting,1
ARL6,0.4025514,Interacting,4.92E-05
ARL6IP4,0.6333746,Non-interacting,9.65E-07
ARL6IP5,0.2010287,Non-interacting,0.02719545
ARL6IP6,0.4151111,Non-interacting,0.8502401
ARL8A,0,Interacting,1
ARL9,0.2223198,Non-interacting,0.2866243
ARMC10,0.3178188,Non-interacting,0.2563951
ARMC12,0.2864561,Non-interacting,0.02480535
ARMC2,0.4086771,Non-interacting,0.0125052
ARMC3,0.295043,Non-interacting,0.000134398
ARMC5,0.1889912,Non-interacting,0.08289107
ARMC6,0.1981886,Non-interacting,0.07859513
ARMC8,0.1626281,Non-interacting,8.13E-06
ARMC9,0.2936091,Non-interacting,0.03587926
ARMCX1,0.1895809,Non-interacting,0.9195701
ARMCX2,0.3209936,Non-interacting,0.05164363
ARMCX3,0.06483862,Non-interacting,1
ARMCX4,0.8421912,Non-interacting,3.43E-06
ARMCX5,0.6758746,Non-interacting,0.006871426
ARMCX6,0.5085418,Non-interacting,0.03625288
ARNT,0.1404545,Non-interacting,1
ARNT2,0.03364589,Non-interacting,0.009482055
ARNTL,0.03164187,Non-interacting,0.07653981
ARNTL2,0.2817938,Non-interacting,1
ARPC1A,0.1968378,Non-interacting,0.9347049
ARPC1B,0.068,Interacting,1
ARPC2,0.3458161,Non-interacting,0.000680157
ARPC3,0.1472339,Non-interacting,1
ARPC4,3.489208,Non-interacting,5.42E-12
ARPC5,0.2060331,Non-interacting,0.2803229
ARPC5L,0.04716993,Non-interacting,1
ARPIN,0.4646256,Non-interacting,2.08E-12
ARPP21,0.1282931,Non-interacting,0.6682975
ARR3,0.3621654,Non-interacting,0.002618173
ARRDC1,0.1968314,Non-interacting,1
ARRDC2,0.2381387,Non-interacting,3.32E-09
ARRDC3,0.0438652,Non-interacting,0.1540411
ARRDC4,0.2216039,Non-interacting,1
ARRDC5,0.3659355,Non-interacting,0.005455779
ARSA,0.248211,Non-interacting,0.02726831
ARSB,0.230737,Non-interacting,0.001667906
ARSD,0.2311083,Non-interacting,0.8248231
ARSE,0.2407026,Non-interacting,0.386392
ARSF,0.2800646,Non-interacting,0.001792825
ARSG,0.2331487,Non-interacting,0.05365777
ARSH,0.1768115,Non-interacting,0.8443987
ARSI,0.04981404,Non-interacting,0.07261807
ARSJ,0.1009034,Non-interacting,1
ARSK,0.2383414,Non-interacting,0.009029422
ART1,0.2177969,Non-interacting,0.4960513
ART3,0.4062336,Non-interacting,0.2804384
ART4,0.5156358,Non-interacting,0.173434
ART5,0.2919856,Non-interacting,0.08791504
ARV1,0.2379193,Non-interacting,0.6619363
ARVCF,0.0981914,Non-interacting,0.8570959
ARX,0.07199061,Interacting,1
AS3MT,0.6517572,Non-interacting,0.000632289
ASAH1,0.3866693,Non-interacting,1.69E-11
ASAH2B,0.2408139,Non-interacting,0.2161503
ASAP1,0.07216396,Interacting,1
ASAP2,0.06515539,Interacting,1
ASAP3,0.1659571,Interacting,0.1339767
ASB1,0.04386335,Interacting,1
ASB10,0.2552991,Interacting,1
ASB11,0.1315944,Interacting,1
ASB12,0.139918,Interacting,1
ASB13,0.03298491,Interacting,1
ASB14,0.2598126,Interacting,0.2466214
ASB15,0.1273146,Interacting,0.5650908
ASB16,0.2291459,Interacting,0.3239674
ASB17,0.1968024,Non-interacting,0.9122221
ASB18,0.2800045,Interacting,0.582373
ASB2,0.07828974,Interacting,0.2173691
ASB3,0.2765097,Interacting,1
ASB4,0.08061827,Interacting,1
ASB5,0.08270821,Interacting,1
ASB6,0.05760982,Interacting,0.05555471
ASB7,0.008055749,Interacting,1
ASB8,0.05062182,Interacting,1
ASCC1,0.1604594,Non-interacting,0.06449699
ASCC2,0.1773338,Non-interacting,0.02102523
ASCC3,0.1249206,Interacting,0.9802634
ASCL1,0.03149569,Non-interacting,1
ASCL2,0.1607135,Non-interacting,0.2156065
ASCL3,0.2844444,Non-interacting,0.7873056
ASCL4,0.2820994,Non-interacting,0.2784082
ASCL5,0.1765437,Non-interacting,0.005621321
ASF1B,0.1010601,Non-interacting,1
ASGR1,0.161271,Interacting,0.000202004
ASGR2,0.3580592,Interacting,0.6947041
ASH1L,0.1080965,Non-interacting,1
ASH2L,0.128584,Non-interacting,1
ASIC1,0.1675095,Non-interacting,1
ASIC2,0.02715094,Non-interacting,1
ASIC3,0.2385246,Non-interacting,1.75E-06
ASIC4,0.1729967,Non-interacting,0.01111282
ASIC5,0.3384742,Non-interacting,0.4872389
ASIP,0.1113187,Non-interacting,0.3280763
ASL,0.2716078,Non-interacting,1.02E-07
ASMT,0.2653526,Non-interacting,1
ASMTL,0.7283581,Non-interacting,5.45E-08
ASNA1,0.02012963,Non-interacting,4.94E-05
ASNS,0.209184,Non-interacting,1
ASNSD1,0.3532406,Non-interacting,0.04319894
ASPDH,0.3074311,Non-interacting,0.02331357
ASPG,0.1597365,Interacting,0.1395954
ASPH,0.2267902,Non-interacting,0.06391157
ASPHD1,0.1712314,Non-interacting,0.1340979
ASPHD2,0.04700273,Non-interacting,0.10191
ASPM,0.4642491,Non-interacting,6.33E-05
ASPN,0.1258123,Non-interacting,0.3022978
ASPRV1,0.2606748,Interacting,0.2165461
ASS1,0.03474652,Non-interacting,1
ASTE1,0.4175069,Non-interacting,0.02649517
ASTL,0.4427133,Non-interacting,0.0101675
ASTN1,0.03334167,Non-interacting,1
ASTN2,0.03005818,Non-interacting,1
ASXL1,0.5546204,Non-interacting,8.40E-06
ASXL2,0.367013,Non-interacting,0.9938197
ASXL3,0.2221085,Non-interacting,1
ASZ1,0.2175996,Interacting,1
ATAD2,0.1999935,Interacting,0.0577761
ATAD2B,0.08512426,Interacting,0.3580071
ATAD5,0.4298352,Non-interacting,0.001288141
ATAT1,0.3128622,Non-interacting,0.1136196
ATCAY,0.1042992,Non-interacting,0.1090666
ATE1,0.2956302,Non-interacting,4.18E-07
ATF1,0.3762269,Non-interacting,0.6708358
ATF2,0.07600405,Non-interacting,0.1305875
ATF3,0.04364088,Non-interacting,0.1031573
ATF4,0.167929,Non-interacting,0.05775052
ATF5,0.2728227,Non-interacting,0.5990045
ATF6,0.2331313,Non-interacting,0.3630562
ATF6B,0.2113471,Non-interacting,0.8172358
ATF7,0.06220661,Non-interacting,1.85E-05
ATF7IP,0.3578145,Non-interacting,3.55E-06
ATF7IP2,0.6493835,Non-interacting,0.000148574
ATG10,0.342659,Non-interacting,1
ATG101,0.01333333,Non-interacting,1
ATG12,0.2138417,Non-interacting,0.6311874
ATG13,0.06344491,Non-interacting,1
ATG14,0.1410525,Non-interacting,0.712052
ATG16L1,0.1017199,Non-interacting,0.6987017
ATG16L2,0.2502508,Non-interacting,0.01230797
ATG2A,0.1262061,Non-interacting,0.420952
ATG2B,0.1217282,Non-interacting,0.4297874
ATG4A,0.1884704,Non-interacting,0.6680208
ATG4B,0.1226224,Non-interacting,0.004882689
ATG4C,0.1880491,Non-interacting,0.5510351
ATG4D,0.09796591,Non-interacting,1
ATG5,0.05272364,Non-interacting,0.3666749
ATG7,0.1543652,Non-interacting,0.4759
ATG9A,0.02835372,Non-interacting,1
ATG9B,0.1921989,Non-interacting,0.1511695
ATIC,0.1328874,Non-interacting,1
ATL1,0.105543,Non-interacting,0.04665503
ATL2,0.2041696,Non-interacting,0.2242301
ATL3,0.1129544,Non-interacting,0.2784237
ATN1,0.2458447,Interacting,0.01297236
ATOH1,0.09318927,Non-interacting,1
ATOH7,0.05442384,Non-interacting,0.09422763
ATOH8,0.1404873,Non-interacting,0.4811781
ATOX1,0.1727143,Non-interacting,1
ATP10A,0.1875406,Non-interacting,0.000569071
ATP10B,0.271487,Non-interacting,5.31E-08
ATP10D,0.2869979,Non-interacting,0.04224139
ATP11A,0.05982727,Non-interacting,0.008682584
ATP11B,0.1328586,Non-interacting,0.8565998
ATP11C,0.1176842,Non-interacting,1
ATP12A,0.1353707,Non-interacting,0.003911184
ATP13A1,0.03396154,Non-interacting,0.7601104
ATP13A2,0.1621869,Non-interacting,1
ATP13A3,0.164335,Non-interacting,0.1175271
ATP13A4,0.196898,Non-interacting,1
ATP13A5,0.3729157,Non-interacting,0.1530731
ATP1A1,0.05243406,Interacting,1
ATP1A2,0.03727353,Non-interacting,0.01451558
ATP1A3,0.002422311,Non-interacting,1
ATP1A4,0.3365928,Non-interacting,0.01682996
ATP1B2,0.05914286,Non-interacting,1
ATP1B4,0.2742606,Non-interacting,0.5850508
ATP23,0.3403806,Non-interacting,1
ATP2A1,0.08423742,Non-interacting,5.55E-05
ATP2A2,0.1254708,Non-interacting,0.4375763
ATP2A3,0.07319485,Non-interacting,0.01791154
ATP2B1,0.033972,Non-interacting,9.62E-08
ATP2B2,0.05939397,Non-interacting,9.79E-14
ATP2B3,0.04107729,Non-interacting,0.001692548
ATP2B4,0.1915802,Non-interacting,0.0864026
ATP2C1,0.08735549,Non-interacting,0.268739
ATP2C2,0.1236798,Non-interacting,0.4840299
ATP4A,0.08735073,Non-interacting,1
ATP4B,0.1849655,Non-interacting,0.0085214
ATP5D,0.09157143,Interacting,1
ATP5I,0.2606429,Non-interacting,0.3158404
ATP5J,0.5014184,Non-interacting,0.3855457
ATP6AP1,0.1847228,Non-interacting,0.1039741
ATP6AP1L,0.43927,Non-interacting,0.2068239
ATP6AP2,0.1481486,Non-interacting,0.5874197
ATP6V0A1,0.08109343,Non-interacting,0.2514405
ATP6V0A2,0.1128098,Non-interacting,0.688199
ATP6V0A4,0.1532664,Non-interacting,0.1798838
ATP6V0B,0.0273956,Non-interacting,0.2356499
ATP6V0C,0.04154762,Interacting,1
ATP6V0D1,0.03675962,Non-interacting,0.4061964
ATP6V0D2,0.2098138,Non-interacting,0.2342592
ATP6V0E1,0.07937879,Non-interacting,1
ATP6V0E2,0.2750667,Non-interacting,0.7511251
ATP6V1C1,0.04612565,Non-interacting,1
ATP6V1C2,0.1280026,Non-interacting,1
ATP6V1D,0.100257,Non-interacting,1
ATP6V1E1,4.708537,Non-interacting,0.000465853
ATP6V1E2,0.3825,Non-interacting,0.2024385
ATP6V1F,0.01439831,Non-interacting,1
ATP6V1G1,0.09647863,Non-interacting,0.7239069
ATP6V1G2,1.016212,Non-interacting,1.05E-15
ATP6V1G3,0.3935378,Non-interacting,0.5672592
ATP6V1H,0.03264807,Non-interacting,0.0357438
ATP7A,0.2831317,Non-interacting,0.2514398
ATP8A1,0.2711192,Non-interacting,2.88E-19
ATP8A2,0.06122325,Non-interacting,0.2186527
ATP8B1,0.1321576,Non-interacting,0.06362968
ATP8B2,0.06841132,Non-interacting,0.005986904
ATP8B3,0.286248,Non-interacting,4.08E-07
ATP8B4,0.2187202,Non-interacting,0.01562887
ATP9A,0.03334863,Non-interacting,1
ATP9B,0.09550176,Non-interacting,0.5419509
ATPAF1,0.2067231,Non-interacting,0.7532575
ATPAF2,0.157377,Non-interacting,0.09819326
ATRAID,0.4955132,Non-interacting,0.2722327
ATRIP,0.3619417,Non-interacting,0.2009589
ATRN,0.15554,Interacting,1
ATRNL1,0.08018287,Interacting,0.000419354
ATXN1,0.09906497,Non-interacting,0.8505476
ATXN10,0.2366688,Non-interacting,1
ATXN1L,0.1783852,Non-interacting,1
ATXN3L,0.4121983,Non-interacting,0.3579627
ATXN7L1,0.2030264,Non-interacting,0.3540842
ATXN7L2,0.1984831,Non-interacting,0.2993391
ATXN7L3,0.231309,Non-interacting,0.216787
ATXN7L3B,0.04341237,Non-interacting,1
AUH,0.1485565,Non-interacting,0.1810007
AUNIP,0.6309888,Non-interacting,0.3283288
AUP1,0.1456795,Non-interacting,1
AURKAIP1,0.305515,Non-interacting,0.3214795
AURKB,0.06387075,Interacting,1
AUTS2,0.1166566,Non-interacting,9.91E-06
AVEN,0.4412801,Non-interacting,0.6964076
AVIL,0.1861187,Non-interacting,0.07058085
AVL9,0.1875254,Non-interacting,0.5493706
AVP,0.1646492,Non-interacting,0.000921835
AVPI1,0.2484932,Non-interacting,0.05137002
AVPR1A,0.1318244,Non-interacting,0.09348904
AVPR1B,0.221165,Non-interacting,0.03971553
AVPR2,0.2332364,Non-interacting,0.000528904
AWAT1,0.361931,Non-interacting,1
AWAT2,0.3620471,Non-interacting,0.02878891
AXDND1,0.6405921,Non-interacting,4.72E-06
AXIN1,0.09275234,Interacting,0.1987761
AXIN2,0.1140131,Non-interacting,0.05847725
AXL,0.1710366,Interacting,0.1705264
AZIN1,0.1823041,Non-interacting,0.0142503
AZIN2,0.3165013,Non-interacting,0.003075065
AZU1,0.211708,Interacting,1
B3GALNT2,0.2079372,Non-interacting,0.01456738
B3GALT1,0.00507362,Non-interacting,1
B3GALT4,0.1393093,Non-interacting,0.1458699
B3GALT5,0.2661806,Non-interacting,1
B3GALT6,0.6590667,Non-interacting,7.83E-09
B3GAT1,0.0148209,Non-interacting,1
B3GAT2,0.0857382,Non-interacting,0.1066463
B3GAT3,0.07004152,Non-interacting,0.8537068
B3GLCT,0.2053768,Non-interacting,0.4718022
B3GNT2,0.1576596,Non-interacting,0.1434976
B3GNT3,0.3344129,Non-interacting,0.000379704
B3GNT4,0.1908165,Non-interacting,0.1439921
B3GNT5,0.1862606,Non-interacting,0.8269438
B3GNT6,0.0340355,Non-interacting,1
B3GNT7,0.1211364,Non-interacting,0.1121869
B3GNT8,0.2309647,Non-interacting,1
