gene,Pval corrected,Int?
SELENOW,3.06E-06,Non-interacting
GOSR2,3.10E-06,Non-interacting
CFAP44,3.11E-06,Non-interacting
DBF4B,3.11E-06,Non-interacting
SPOUT1,3.17E-06,Non-interacting
COL4A4,3.19E-06,Non-interacting
EED,3.20E-06,Non-interacting
MANSC4,3.26E-06,Non-interacting
RBM43,3.34E-06,Non-interacting
F5,3.42E-06,Interacting
NBPF3,3.43E-06,Non-interacting
BLOC1S6,3.49E-06,Non-interacting
POLQ,3.52E-06,Interacting
SPEF2,3.52E-06,Non-interacting
GOLGA4,3.62E-06,Interacting
SLC35G4,3.62E-06,Non-interacting
EVI2A,3.65E-06,Non-interacting
NKAIN3,3.73E-06,Non-interacting
KIAA2013,3.74E-06,Non-interacting
NKG7,3.74E-06,Non-interacting
ZDHHC11B,3.75E-06,Non-interacting
POLR1E,3.79E-06,Non-interacting
GATD1,3.87E-06,Non-interacting
MAL,3.88E-06,Non-interacting
NLRP11,3.88E-06,Non-interacting
CCDC168,3.93E-06,Non-interacting
KNTC1,3.93E-06,Non-interacting
SLC9B1,3.94E-06,Non-interacting
SLC35G5,3.96E-06,Non-interacting
LRRIQ1,3.96E-06,Non-interacting
OSTC,3.96E-06,Non-interacting
CD2,4.16E-06,Interacting
LEKR1,4.18E-06,Non-interacting
SMIM7,4.25E-06,Non-interacting
SLC35G3,4.28E-06,Non-interacting
CD84,4.47E-06,Interacting
OTUB2,4.47E-06,Non-interacting
HNF1B,4.53E-06,Non-interacting
CD46,4.56E-06,Interacting
DDX11,4.59E-06,Non-interacting
UBE2U,4.65E-06,Interacting
GREB1L,4.68E-06,Non-interacting
GCC2,4.71E-06,Non-interacting
CD207,4.79E-06,Interacting
CR2,4.86E-06,Interacting
CADPS,4.89E-06,Non-interacting
C3orf30,4.91E-06,Non-interacting
FHL1,5.04E-06,Interacting
CENPH,5.19E-06,Non-interacting
AHSG,5.26E-06,Non-interacting
HEATR4,5.29E-06,Non-interacting
PCIF1,5.38E-06,Non-interacting
CFAP43,5.39E-06,Non-interacting
MIER1,5.39E-06,Non-interacting
TEX44,5.39E-06,Non-interacting
USH2A,5.39E-06,Interacting
KRAS,5.46E-06,Interacting
KCNC4,5.50E-06,Interacting
DST,5.74E-06,Interacting
NKAIN1,5.75E-06,Non-interacting
TUSC5,5.94E-06,Non-interacting
SIDT1,5.95E-06,Non-interacting
WNT10B,6.04E-06,Non-interacting
C4B,6.28E-06,Non-interacting
TCN1,6.45E-06,Non-interacting
LTB4R,6.61E-06,Non-interacting
CDC42,6.62E-06,Interacting
MED15,6.77E-06,Non-interacting
KCNMB3,6.84E-06,Non-interacting
RABEP1,6.85E-06,Interacting
MAPK9,6.86E-06,Interacting
PLEKHS1,6.92E-06,Non-interacting
PGBD3,7.13E-06,Non-interacting
CATSPER3,7.14E-06,Non-interacting
GTPBP8,7.14E-06,Non-interacting
NAPSA,7.15E-06,Non-interacting
COL6A1,7.16E-06,Interacting
HEATR9,7.16E-06,Non-interacting
SELPLG,7.16E-06,Non-interacting
TMEFF1,7.16E-06,Non-interacting
CRYGN,7.30E-06,Non-interacting
NAPA,7.33E-06,Non-interacting
ERCC6,7.45E-06,Interacting
ADAMTS8,7.52E-06,Non-interacting
TBX1,7.54E-06,Non-interacting
ATP8B3,7.65E-06,Non-interacting
KRTAP4-11,7.75E-06,Non-interacting
ATE1,7.81E-06,Non-interacting
DENND2C,7.81E-06,Non-interacting
DUSP15,7.81E-06,Interacting
KARS,7.86E-06,Non-interacting
COA1,7.87E-06,Non-interacting
PSAP,7.87E-06,Non-interacting
TNFRSF10D,7.87E-06,Interacting
CRISP3,7.95E-06,Non-interacting
ZNF577,8.40E-06,Non-interacting
RGS6,8.41E-06,Non-interacting
NAALADL1,8.42E-06,Non-interacting
PITPNC1,8.58E-06,Non-interacting
C5orf56,8.62E-06,Non-interacting
NPFFR1,8.68E-06,Non-interacting
ZNF226,8.71E-06,Interacting
MS4A4E,8.75E-06,Non-interacting
PRIM2,9.07E-06,Non-interacting
ZNF223,9.21E-06,Non-interacting
GPRASP2,9.45E-06,Non-interacting
SMTN,9.46E-06,Non-interacting
TRAF3IP1,9.54E-06,Non-interacting
MEGF6,9.55E-06,Non-interacting
PRB3,9.70E-06,Non-interacting
CNGB1,9.78E-06,Non-interacting
BST2,9.87E-06,Non-interacting
HHLA3,1.05E-05,Non-interacting
MS4A4A,1.09E-05,Non-interacting
MS4A7,1.09E-05,Non-interacting
RHAG,1.09E-05,Non-interacting
MLF1,1.10E-05,Non-interacting
RAB3IL1,1.14E-05,Non-interacting
WFDC10B,1.19E-05,Non-interacting
DDB1,1.21E-05,Interacting
SLC26A8,1.23E-05,Non-interacting
SLC16A2,1.26E-05,Non-interacting
NCALD,1.29E-05,Non-interacting
MARCO,1.29E-05,Non-interacting
ZNF280C,1.31E-05,Interacting
CCDC6,1.32E-05,Non-interacting
SPA17,1.33E-05,Non-interacting
L3MBTL1,1.37E-05,Non-interacting
SIGLEC5,1.37E-05,Non-interacting
CGREF1,1.37E-05,Non-interacting
TULP2,1.38E-05,Non-interacting
FAM9A,1.39E-05,Non-interacting
NEPRO,1.39E-05,Non-interacting
CEACAM18,1.40E-05,Interacting
CSNK2A3,1.42E-05,Interacting
C9orf43,1.42E-05,Non-interacting
IL36G,1.44E-05,Interacting
ZNF12,1.44E-05,Non-interacting
COL3A1,1.46E-05,Non-interacting
GLB1,1.54E-05,Non-interacting
GYPA,1.54E-05,Non-interacting
GYPB,1.54E-05,Non-interacting
NAT8L,1.55E-05,Non-interacting
C1orf127,1.55E-05,Non-interacting
GAGE12H,1.55E-05,Non-interacting
SEC62,1.55E-05,Non-interacting
RSRP1,1.56E-05,Non-interacting
OPRM1,1.57E-05,Non-interacting
CCDC38,1.62E-05,Non-interacting
DCDC2B,1.64E-05,Non-interacting
PARP12,1.64E-05,Non-interacting
ARL6IP4,1.67E-05,Non-interacting
TRIM25,1.68E-05,Interacting
CRACR2B,1.71E-05,Non-interacting
IVL,1.71E-05,Non-interacting
CDHR5,1.72E-05,Non-interacting
ZDBF2,1.72E-05,Non-interacting
C10orf90,1.74E-05,Non-interacting
DIS3L2,1.75E-05,Non-interacting
SLC35G6,1.77E-05,Non-interacting
CCDC7,1.80E-05,Non-interacting
FBXO48,1.84E-05,Non-interacting
STAMBPL1,1.84E-05,Non-interacting
TRIT1,1.84E-05,Non-interacting
UGT1A8,1.84E-05,Non-interacting
PNN,1.86E-05,Non-interacting
ZNF816,1.92E-05,Non-interacting
SLC44A4,1.95E-05,Non-interacting
C4orf45,1.97E-05,Non-interacting
MYLK3,1.97E-05,Interacting
CACNA1D,2.05E-05,Non-interacting
TRDC,2.05E-05,Interacting
TNFRSF10B,2.06E-05,Interacting
VCAN,2.06E-05,Interacting
DKKL1,2.12E-05,Non-interacting
LYVE1,2.12E-05,Non-interacting
GRHL2,2.15E-05,Non-interacting
SPHK2,2.17E-05,Non-interacting
ACHE,2.20E-05,Non-interacting
CCDC66,2.24E-05,Non-interacting
FCRL6,2.24E-05,Non-interacting
GPR108,2.24E-05,Non-interacting
CAPZB,2.25E-05,Interacting
SET,2.25E-05,Non-interacting
IFNAR1,2.27E-05,Non-interacting
MPDZ,2.28E-05,Non-interacting
MUC12,2.28E-05,Non-interacting
ACBD4,2.31E-05,Interacting
PCDH11Y,2.32E-05,Non-interacting
PDPN,2.32E-05,Non-interacting
PHF11,2.35E-05,Non-interacting
FMN2,2.38E-05,Non-interacting
RNASE9,2.45E-05,Non-interacting
MTCL1,2.46E-05,Non-interacting
DPF1,2.49E-05,Non-interacting
FXYD3,2.54E-05,Non-interacting
FBXL13,2.56E-05,Non-interacting
ZNF727,2.56E-05,Non-interacting
KIF20B,2.58E-05,Non-interacting
MTUS2,2.59E-05,Non-interacting
MYBPC3,2.59E-05,Interacting
SOSTDC1,2.59E-05,Non-interacting
XRCC4,2.75E-05,Interacting
AIPL1,2.78E-05,Interacting
AMACR,2.80E-05,Non-interacting
TCF4,2.80E-05,Non-interacting
FNDC7,2.82E-05,Interacting
B4GALNT2,2.83E-05,Non-interacting
ERICH1,2.83E-05,Non-interacting
ASIC3,2.84E-05,Non-interacting
KRTAP4-5,2.85E-05,Non-interacting
SCAI,2.86E-05,Non-interacting
ZG16B,2.86E-05,Non-interacting
CSGALNACT2,2.89E-05,Non-interacting
SNAPC4,2.89E-05,Non-interacting
HOMER3,2.90E-05,Non-interacting
TMEM126B,2.90E-05,Non-interacting
WNT7B,2.90E-05,Non-interacting
CLEC12A,2.91E-05,Interacting
MAGEB10,2.92E-05,Non-interacting
ADAM29,2.93E-05,Non-interacting
DYNLT3,2.98E-05,Non-interacting
FGD5,3.01E-05,Non-interacting
DCLRE1A,3.05E-05,Non-interacting
KRTAP4-4,3.05E-05,Non-interacting
TMEM215,3.08E-05,Non-interacting
SHCBP1L,3.09E-05,Non-interacting
RIF1,3.10E-05,Non-interacting
DBNDD2,3.13E-05,Non-interacting
ARL5A,3.18E-05,Non-interacting
PCMT1,3.20E-05,Non-interacting
TCF7L2,3.22E-05,Non-interacting
STPG3,3.23E-05,Non-interacting
NECAB3,3.27E-05,Non-interacting
DDX60L,3.30E-05,Non-interacting
CFB,3.37E-05,Interacting
ST6GALNAC2,3.37E-05,Non-interacting
KRTAP4-6,3.42E-05,Non-interacting
CMA1,3.44E-05,Interacting
LRRC52,3.46E-05,Interacting
TAC3,3.50E-05,Non-interacting
TEX11,3.51E-05,Non-interacting
WNT3,3.54E-05,Non-interacting
BLID,3.58E-05,Non-interacting
TMEM154,3.60E-05,Non-interacting
CD59,3.65E-05,Non-interacting
PERM1,3.70E-05,Non-interacting
CHL1,3.71E-05,Interacting
DNASE2,3.72E-05,Non-interacting
ORAOV1,3.72E-05,Non-interacting
ZNF607,3.77E-05,Interacting
CPNE4,3.82E-05,Non-interacting
NAE1,3.84E-05,Non-interacting
PTPRN2,3.84E-05,Non-interacting
GRHPR,3.85E-05,Non-interacting
BSPH1,3.86E-05,Non-interacting
RIPK3,3.87E-05,Interacting
DNM2,3.90E-05,Non-interacting
FAM161A,3.96E-05,Non-interacting
MAP3K19,3.96E-05,Interacting
MS4A18,3.97E-05,Non-interacting
SPTA1,3.99E-05,Interacting
ERAP1,4.16E-05,Non-interacting
MROH8,4.17E-05,Non-interacting
ZNF566,4.18E-05,Interacting
ANO5,4.23E-05,Non-interacting
SPATA18,4.23E-05,Non-interacting
F11R,4.24E-05,Interacting
NEK5,4.24E-05,Interacting
ZCCHC8,4.30E-05,Non-interacting
MTFR1L,4.31E-05,Non-interacting
OAF,4.45E-05,Non-interacting
UTS2,4.50E-05,Non-interacting
MS4A14,4.62E-05,Non-interacting
ZNF630,4.62E-05,Non-interacting
SCLT1,4.65E-05,Non-interacting
CNTNAP3B,4.73E-05,Non-interacting
IL1R2,4.73E-05,Interacting
SLC35F2,4.77E-05,Non-interacting
DUOXA1,4.93E-05,Non-interacting
HORMAD2,5.00E-05,Non-interacting
EPSTI1,5.03E-05,Non-interacting
TWF2,5.07E-05,Non-interacting
ARMCX4,5.15E-05,Non-interacting
NRAC,5.15E-05,Non-interacting
TLE3,5.22E-05,Non-interacting
ATF7IP,5.31E-05,Non-interacting
DICER1,5.31E-05,Interacting
GCNA,5.38E-05,Non-interacting
DUSP22,5.39E-05,Interacting
PCMTD1,5.43E-05,Non-interacting
SLCO1B3,5.44E-05,Non-interacting
OLFM1,5.45E-05,Non-interacting
OR5AR1,5.46E-05,Interacting
DLGAP5,5.53E-05,Non-interacting
COL13A1,5.60E-05,Non-interacting
RGPD3,5.60E-05,Non-interacting
MSMB,5.66E-05,Non-interacting
CTR9,5.72E-05,Interacting
TTLL8,5.72E-05,Non-interacting
APCDD1L,5.73E-05,Non-interacting
ZNF850,5.77E-05,Non-interacting
IGHMBP2,5.90E-05,Non-interacting
TNFRSF18,5.90E-05,Non-interacting
GNLY,6.05E-05,Non-interacting
MRGPRX2,6.14E-05,Non-interacting
ZNF860,6.14E-05,Non-interacting
EFCAB13,6.15E-05,Non-interacting
GUCY2C,6.29E-05,Interacting
FAM227B,6.32E-05,Non-interacting
ZDHHC15,6.32E-05,Non-interacting
ZNF792,6.37E-05,Non-interacting
PROSER3,6.39E-05,Non-interacting
EPB42,6.40E-05,Non-interacting
ZNF701,6.63E-05,Non-interacting
RFX4,6.66E-05,Non-interacting
GXYLT2,6.75E-05,Non-interacting
PDE1A,6.83E-05,Non-interacting
AXDND1,6.84E-05,Non-interacting
WRN,6.84E-05,Interacting
CA11,6.95E-05,Interacting
GKN1,6.95E-05,Non-interacting
SAG,6.95E-05,Non-interacting
TICRR,7.02E-05,Non-interacting
MYO9B,7.05E-05,Non-interacting
DCAF17,7.19E-05,Non-interacting
TAPBP,7.21E-05,Interacting
SLC17A1,7.22E-05,Non-interacting
SPATA31E1,7.24E-05,Non-interacting
AQP10,7.29E-05,Non-interacting
FAM231B,7.29E-05,Non-interacting
TCEA3,7.29E-05,Non-interacting
MDS2,7.32E-05,Non-interacting
ERCC5,7.38E-05,Non-interacting
SH3BGR,7.43E-05,Non-interacting
FAM104B,7.47E-05,Non-interacting
GALNT13,7.56E-05,Non-interacting
FAT2,7.61E-05,Interacting
HAP1,7.63E-05,Non-interacting
DNAH1,7.74E-05,Non-interacting
ITGA6,8.13E-05,Non-interacting
MYCBPAP,8.23E-05,Non-interacting
TPRX1,8.30E-05,Non-interacting
CHADL,8.33E-05,Interacting
TMEM244,8.41E-05,Non-interacting
MPI,8.46E-05,Non-interacting
CSF3R,8.57E-05,Interacting
APOBEC3H,8.75E-05,Non-interacting
RAB11FIP1,8.84E-05,Non-interacting
BCL7C,8.94E-05,Non-interacting
UNC13A,9.04E-05,Non-interacting
C6orf136,9.13E-05,Non-interacting
FRMD5,9.26E-05,Interacting
NACAD,9.40E-05,Non-interacting
CFI,9.49E-05,Non-interacting
C6orf163,9.62E-05,Non-interacting
OR14K1,9.63E-05,Interacting
PLEKHJ1,9.74E-05,Non-interacting
C6orf52,9.75E-05,Non-interacting
TLE6,9.75E-05,Non-interacting
DPP4,9.82E-05,Interacting
SPAG1,9.83E-05,Non-interacting
ADSSL1,9.91E-05,Non-interacting
C16orf89,0.000100244,Non-interacting
C4orf17,0.000102512,Non-interacting
AHNAK2,0.000102556,Non-interacting
SCOC,0.000103016,Non-interacting
NINL,0.000104444,Non-interacting
DSPP,0.00010587,Non-interacting
RAPGEF5,0.00010591,Non-interacting
PLB1,0.000105951,Non-interacting
NMUR2,0.000106129,Non-interacting
SIGLEC14,0.0001081,Non-interacting
HSPA8,0.000108352,Interacting
RUFY2,0.000108352,Non-interacting
SAMD15,0.000108352,Non-interacting
TGM3,0.00010839,Non-interacting
RNF181,0.000108977,Non-interacting
ARHGAP11B,0.000109288,Non-interacting
CBARP,0.000109773,Non-interacting
ZNF587B,0.000109773,Interacting
GSDMB,0.000110356,Non-interacting
LMTK3,0.000110529,Interacting
ARMC8,0.000110974,Non-interacting
CDADC1,0.000111419,Non-interacting
ANKRD7,0.000112169,Interacting
PROX2,0.000112169,Non-interacting
CLCN3,0.000113971,Interacting
ASXL1,0.000114139,Non-interacting
MMP9,0.000116072,Non-interacting
IL1A,0.000117188,Non-interacting
FCGR3A,0.000117895,Interacting
COL27A1,0.000118194,Non-interacting
C10orf68,0.000118629,Non-interacting
ANKRD52,0.000118657,Interacting
WDR93,0.000118685,Non-interacting
HMGA2,0.000118848,Non-interacting
MUSK,0.00011901,Interacting
ZSCAN18,0.000119577,Non-interacting
RANBP3L,0.000120276,Non-interacting
C5orf42,0.000120706,Non-interacting
ADAMTS10,0.000120866,Non-interacting
TAS2R1,0.000122637,Non-interacting
DDX17,0.000123867,Interacting
KNG1,0.000124426,Non-interacting
OFD1,0.000124716,Non-interacting
SPINK5,0.000126076,Interacting
SPAG17,0.000126498,Non-interacting
CCDC121,0.000126652,Non-interacting
CFAP65,0.000127606,Non-interacting
FYCO1,0.000128958,Non-interacting
TGIF2LY,0.000129109,Non-interacting
IL34,0.000129526,Interacting
FAM110C,0.000129544,Non-interacting
ENTPD1,0.000129961,Non-interacting
AUTS2,0.000131437,Non-interacting
TM4SF4,0.000131718,Non-interacting
CLCNKB,0.000132279,Non-interacting
TBC1D32,0.000132279,Non-interacting
PLIN3,0.000133366,Non-interacting
ZNF318,0.000133366,Non-interacting
DERA,0.000134568,Non-interacting
MX2,0.000135768,Interacting
IL27,0.000136965,Non-interacting
AGBL2,0.000137918,Non-interacting
PLA2G2C,0.000137918,Interacting
RRNAD1,0.000137918,Non-interacting
C14orf166,0.000138988,Non-interacting
LHCGR,0.000138988,Non-interacting
OLFML2B,0.000140177,Non-interacting
CD5,0.000141116,Non-interacting
HCN2,0.000141116,Non-interacting
LTV1,0.000141116,Non-interacting
MAP7D1,0.000142299,Non-interacting
KRT36,0.000143354,Non-interacting
TAS2R8,0.000143354,Non-interacting
ZFYVE1,0.000145834,Non-interacting
PCDH11X,0.00014688,Non-interacting
SPDYE16,0.00014688,Non-interacting
MORC1,0.00014935,Non-interacting
KTN1,0.000150388,Non-interacting
LILRB4,0.000150388,Interacting
CLCA1,0.000151553,Interacting
KRTAP4-12,0.000152585,Non-interacting
OSR2,0.000152585,Interacting
C6,0.000153613,Interacting
CACNA1H,0.000153613,Non-interacting
FCGR3B,0.000155925,Non-interacting
RNF34,0.000155925,Interacting
SLCO1B1,0.00015823,Non-interacting
ZNFX1,0.00015823,Non-interacting
MINDY4,0.000159107,Non-interacting
PPP4R3CP,0.000159107,Non-interacting
UBXN2B,0.000159107,Interacting
NHEJ1,0.000160253,Non-interacting
HPS1,0.000161396,Non-interacting
GLYATL1,0.000162399,Non-interacting
NUP210,0.000162399,Non-interacting
CNP,0.000164535,Non-interacting
DSG3,0.000164535,Interacting
EPGN,0.000164535,Non-interacting
ENPEP,0.000166944,Non-interacting
TCTE3,0.000168076,Non-interacting
DAGLA,0.000169061,Non-interacting
ZSCAN32,0.000169061,Non-interacting
MED1,0.000173998,Non-interacting
STOX1,0.00017512,Non-interacting
EML2,0.000177507,Non-interacting
GZF1,0.000179891,Interacting
ANG,0.000182116,Non-interacting
DNAJB12,0.000182116,Interacting
ZC3HAV1,0.000183226,Non-interacting
CDH17,0.000185597,Non-interacting
C15orf57,0.000186388,Non-interacting
NFIA,0.000186388,Non-interacting
ST3GAL3,0.000186388,Non-interacting
FAM71D,0.000188589,Non-interacting
NIT2,0.000188589,Non-interacting
CLECL1,0.000189528,Non-interacting
OTOG,0.000189528,Non-interacting
CNNM2,0.000191878,Non-interacting
FGG,0.000194223,Interacting
MUC3A,0.000196401,Non-interacting
OR10Z1,0.000196401,Non-interacting
SAMD9,0.000197487,Non-interacting
FAM189A1,0.000198571,Non-interacting
TUBE1,0.000199653,Interacting
MAGEB5,0.000200567,Non-interacting
NPM2,0.000200567,Non-interacting
BRMS1,0.000201477,Non-interacting
TRAC,0.000201477,Interacting
CCDC129,0.000202385,Non-interacting
CD300LF,0.000202385,Interacting
AHI1,0.000204698,Interacting
C12orf42,0.000205598,Non-interacting
SYCE1L,0.000205598,Non-interacting
GPR161,0.000206666,Non-interacting
AGBL1,0.000207389,Non-interacting
PUSL1,0.000207389,Non-interacting
SDHAF2,0.000207389,Non-interacting
DNAH17,0.00020828,Interacting
MS4A3,0.00020828,Non-interacting
TRIM31,0.00020934,Interacting
CALCA,0.000210399,Non-interacting
MAFA,0.000211456,Non-interacting
CNTRL,0.000212162,Non-interacting
PANX2,0.000212162,Non-interacting
RPE,0.000212162,Non-interacting
SCUBE1,0.00021304,Non-interacting
SHTN1,0.00021304,Interacting
CCDC173,0.000213914,Non-interacting
UNKL,0.000213914,Non-interacting
TTLL13P,0.000214961,Non-interacting
ATF7,0.000225769,Non-interacting
CENPT,0.000228024,Interacting
ZNF266,0.000229057,Non-interacting
BFSP1,0.000231118,Non-interacting
KRTAP4-8,0.000231118,Non-interacting
INPP4A,0.000233172,Non-interacting
PAPSS2,0.000233172,Non-interacting
CNTNAP3,0.000234196,Non-interacting
PPP1R3A,0.000236432,Non-interacting
ONECUT2,0.000237452,Non-interacting
CD274,0.000244523,Interacting
ZNF839,0.000247954,Non-interacting
ADGRG1,0.000248962,Non-interacting
DMKN,0.000250974,Non-interacting
SCFD1,0.000250974,Non-interacting
SLC25A26,0.000251978,Non-interacting
CCR2,0.00025298,Non-interacting
NRN1,0.00025398,Non-interacting
FSIP1,0.000255771,Non-interacting
GAGE4,0.000255771,Non-interacting
TFB2M,0.000255771,Non-interacting
RNF123,0.000256766,Non-interacting
TNIP3,0.000257759,Non-interacting
APOC4,0.000258751,Non-interacting
PATE2,0.000262135,Non-interacting
IGFL4,0.000267905,Non-interacting
CCL23,0.000268672,Interacting
FBXO24,0.000268672,Non-interacting
GAGE1,0.000269651,Non-interacting
CD58,0.000275179,Interacting
HSPBAP1,0.000275179,Non-interacting
MYO10,0.00027734,Non-interacting
ZNF394,0.000278309,Interacting
TROAP,0.000279277,Non-interacting
PALM,0.00028143,Non-interacting
OGG1,0.000282394,Non-interacting
STOM,0.000283356,Non-interacting
TAS2R10,0.000284316,Non-interacting
MIDN,0.000286459,Interacting
SLC4A11,0.000287416,Non-interacting
FAM186B,0.000295462,Non-interacting
SLAMF1,0.00029641,Interacting
SMOC2,0.000297122,Non-interacting
TRIOBP,0.000297122,Non-interacting
MLPH,0.000300423,Non-interacting
RASSF1,0.000301364,Non-interacting
FGF2,0.000303241,Interacting
SRGN,0.000303241,Non-interacting
TMC4,0.000306527,Non-interacting
NLRP8,0.00030746,Interacting
LAMTOR5,0.000308392,Non-interacting
EVPLL,0.000312592,Interacting
POLH,0.000312592,Non-interacting
ALOXE3,0.000313029,Non-interacting
BHLHE23,0.000313029,Non-interacting
SHROOM2,0.000313029,Non-interacting
CP,0.000313952,Non-interacting
DDX58,0.000317206,Non-interacting
GAGE2E,0.000318125,Non-interacting
ZSWIM3,0.000319042,Non-interacting
SLAIN1,0.000323197,Non-interacting
TCHHL1,0.000323197,Non-interacting
FAM71F2,0.000323856,Non-interacting
KDELR1,0.000323856,Non-interacting
ACE2,0.000324765,Interacting
FAM9C,0.000325421,Non-interacting
FLG,0.000325421,Non-interacting
TREH,0.000328641,Non-interacting
KIF26B,0.000335963,Non-interacting
RGS22,0.000335963,Non-interacting
SDC2,0.000335963,Non-interacting
TMEM68,0.000339165,Non-interacting
TTC34,0.000341209,Non-interacting
FAM208A,0.000342098,Non-interacting
C8B,0.000342723,Non-interacting
LIG1,0.000342723,Non-interacting
MROH2B,0.000344758,Non-interacting
ZDHHC3,0.000347939,Non-interacting
KIAA1551,0.000349967,Non-interacting
GCNT7,0.000361165,Non-interacting
SCIMP,0.000364325,Non-interacting
GOLT1B,0.000367481,Non-interacting
TFDP3,0.000369488,Non-interacting
MICAL1,0.000370349,Non-interacting
DEFB124,0.000372067,Non-interacting
KCNK2,0.000372067,Non-interacting
JAZF1,0.000374065,Non-interacting
CACNA2D4,0.00037492,Interacting
TAGAP,0.000380328,Non-interacting
ANPEP,0.000380599,Non-interacting
TIPIN,0.000380599,Non-interacting
TRMT1,0.000380599,Non-interacting
DPCR1,0.000381445,Non-interacting
VPS33B,0.00038456,Non-interacting
LGALS3BP,0.000386536,Interacting
OR4P4,0.000387376,Interacting
ZFP37,0.000388215,Interacting
TLR8,0.000391315,Non-interacting
FBXO40,0.000392149,Non-interacting
EHBP1L1,0.000392983,Non-interacting
SYCP2,0.000393815,Non-interacting
MGA,0.000395178,Non-interacting
MGAM,0.000395178,Non-interacting
ZNF674,0.000395178,Non-interacting
TSPEAR,0.000398257,Non-interacting
FOXI2,0.000399082,Non-interacting
DNAI1,0.000407769,Non-interacting
HTR3C,0.000409401,Non-interacting
PPP1R14D,0.000409401,Non-interacting
KCNMA1,0.000412457,Non-interacting
PIGQ,0.000414389,Non-interacting
NKX6-1,0.000414888,Interacting
SLC6A19,0.000414888,Non-interacting
CD86,0.000416814,Interacting
ARL17A,0.000421944,Non-interacting
CDHR2,0.000421944,Non-interacting
IK,0.000421944,Non-interacting
RTKN,0.000421944,Non-interacting
ZNF671,0.000421944,Non-interacting
IL2RB,0.000422743,Interacting
KIF7,0.000426876,Non-interacting
ABCC11,0.000429573,Interacting
CUL7,0.000429573,Interacting
MYADML2,0.000430045,Non-interacting
SLC41A3,0.000430045,Non-interacting
EEF1AKMT2,0.000439695,Non-interacting
FCER1A,0.000440477,Interacting
ZDHHC19,0.000442363,Non-interacting
TTF1,0.000444247,Non-interacting
PSORS1C1,0.000446128,Non-interacting
NLRP3,0.000446903,Interacting
ADGRE3,0.000447347,Non-interacting
NXPH3,0.000447347,Non-interacting
ADAM8,0.000447461,Non-interacting
MS4A13,0.000447461,Non-interacting
WFDC8,0.000447461,Interacting
DNAJC5B,0.000449,Non-interacting
TRIM15,0.000449,Interacting
FBXL17,0.000450865,Non-interacting
CCDC170,0.000462594,Non-interacting
PKP3,0.000464446,Non-interacting
SLC6A16,0.000465201,Non-interacting
MT-ND5,0.000465275,Non-interacting
RP1L1,0.000465275,Non-interacting
TENM2,0.000465275,Non-interacting
HAUS7,0.000467119,Non-interacting
TIMELESS,0.000470051,Non-interacting
IL18RAP,0.000470798,Interacting
GOT1,0.000472634,Non-interacting
EFCAB9,0.000473379,Non-interacting
SLC52A3,0.000473778,Non-interacting
WNK4,0.000473778,Interacting
CCR3,0.000477778,Interacting
SCP2,0.000480687,Non-interacting
DIRC1,0.000482508,Non-interacting
ERVFRD-1,0.000483242,Non-interacting
RANGAP1,0.000489389,Non-interacting
CD163,0.00048941,Non-interacting
HELB,0.00048941,Non-interacting
SIGLEC15,0.00048941,Interacting
UIMC1,0.000496614,Interacting
ADGB,0.000502367,Non-interacting
